B013801,B013801,B034501,B034501,B034601,B034601,B034903,B034903,B035002,B035002,B035101,B035101,B035201,B035201,value
11-25 books,11-25 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,240.735857281311
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,248.625782080605
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,248.481368981294
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,< half the time,< half the time,256.977314941837
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,About half the time,About half the time,246.555792573217
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,About half the time,About half the time,243.532279016392
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,All or most of time,All or most of time,235.550710293358
0-10 books,0-10 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,242.574252803137
11-25 books,11-25 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,242.954087014283
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,253.476302390202
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,259.295329748409
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,< half the time,< half the time,252.581276262418
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,< half the time,< half the time,257.979379052482
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,About half the time,About half the time,253.703556076354
11-25 books,11-25 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,> 1/2  the time,> 1/2  the time,235.352495838562
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,All or most of time,All or most of time,235.648052817884
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,All or most of time,All or most of time,235.911018503282
0-10 books,0-10 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,233.105467307131
11-25 books,11-25 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,241.216979698448
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,258.784757348845
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,262.595388036903
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,< half the time,< half the time,265.076270274408
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,< half the time,< half the time,260.777605422505
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,About half the time,About half the time,249.395031263538
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,About half the time,About half the time,256.373544358536
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,> 1/2  the time,> 1/2  the time,243.069117782434
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,> 1/2  the time,> 1/2  the time,252.253931100377
0-10 books,0-10 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,All or most of time,All or most of time,221.447326106833
11-25 books,11-25 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,All or most of time,All or most of time,219.051449671913
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,All or most of time,All or most of time,240.247677266901
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,All or most of time,All or most of time,233.311887489366
26-100 books,26-100 books,Once/twice a month,Once/twice a month,Yes,Yes,Quite a bit like me,Quite a bit like me,About half of the time,About half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,256.65540803126
26-100 books,26-100 books,Once/twice a month,Once/twice a month,Yes,Yes,Quite a bit like me,Quite a bit like me,More than half of the time,More than half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,263.765181010812
More than 100 books,More than 100 books,Once/twice a month,Once/twice a month,Yes,Yes,Quite a bit like me,Quite a bit like me,More than half of the time,More than half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,270.026290113955
26-100 books,26-100 books,Once/twice a month,Once/twice a month,Yes,Yes,Quite a bit like me,Quite a bit like me,More than half of the time,More than half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,268.289281678166
More than 100 books,More than 100 books,Once/twice a month,Once/twice a month,Yes,Yes,Quite a bit like me,Quite a bit like me,More than half of the time,More than half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,271.71390360287
26-100 books,26-100 books,Once/twice a month,Once/twice a month,Yes,Yes,Quite a bit like me,Quite a bit like me,More than half of the time,More than half of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,277.231880973433
More than 100 books,More than 100 books,Once/twice a month,Once/twice a month,Yes,Yes,Quite a bit like me,Quite a bit like me,More than half of the time,More than half of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,282.171664691678
26-100 books,26-100 books,Once/twice a month,Once/twice a month,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,261.16660259019
More than 100 books,More than 100 books,Once/twice a month,Once/twice a month,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,267.128068861941
26-100 books,26-100 books,Once/twice a month,Once/twice a month,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,261.971945276584
More than 100 books,More than 100 books,Once/twice a month,Once/twice a month,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,269.83338649932
26-100 books,26-100 books,Once/twice a month,Once/twice a month,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,266.265327549768
More than 100 books,More than 100 books,Once/twice a month,Once/twice a month,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,281.798178417393
26-100 books,26-100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,About half of the time,About half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,240.947822086883
26-100 books,26-100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,A little bit like me,A little bit like me,Never or hardly ever,Never or hardly ever,242.156606405659
26-100 books,26-100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,256.659018141383
More than 100 books,More than 100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,257.727613961695
11-25 books,11-25 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,252.646555560349
26-100 books,26-100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,266.360891161798
